date,nav,cash,n_pos,ret
2024-11-01,1775194.774262757,174623.17996956027,9,0.011531744726585913
2024-11-04,1784674.9038408613,174623.17996956027,9,0.005340332066965159
2024-11-05,1820369.6443896235,16774.85928643853,9,0.02000069618950895
2024-11-06,1813101.2098452444,16774.85928643853,9,-0.003992834404144441
2024-11-07,1963575.165344164,16774.85928643853,9,0.08299258457378844
2024-11-08,2028341.941865359,1417211.7213598145,2,0.032984108611825436
2024-11-11,2125779.3249223153,1417211.7213598145,2,0.04803794717539023
2024-11-12,2083030.0331966686,1417211.7213598145,2,-0.020109938611435618
2024-11-13,2131645.0215721307,1417211.7213598145,2,0.0233385921473519
2024-11-14,2098115.6851178007,1417211.7213598145,2,-0.015729324589701887
2024-11-15,2111083.2939573997,2111083.2939573997,0,0.006180597634143803
2024-11-18,2111083.2939573997,2111083.2939573997,0,0.0
2024-11-19,2106861.245610104,699511.7965114679,2,-0.0019999439905477034
2024-11-20,2165672.0319122015,699511.7965114679,2,0.02791393425866895
2024-11-21,2182655.8391726213,699511.7965114679,2,0.007842280368474563
2024-11-22,2172118.296133791,699511.7965114679,2,-0.0048278536861884325
2024-11-25,2175618.0319122015,699511.7965114679,2,0.0016112086457904518
2024-11-26,2121294.5033386373,167200.65892605204,3,-0.02496923990183053
2024-11-27,2196587.155425923,167200.65892605204,3,0.035493728932397106
2024-11-28,2179806.257597818,167200.65892605204,3,-0.007639531983355763
2024-11-29,2191584.660687998,1609550.5172819453,1,0.005403417413417211
2024-12-02,2211925.806287574,1609550.5172819453,1,0.009281478358764694
2024-12-03,2207040.926674728,130934.32002626717,11,-0.002208428329268819
2024-12-04,2206432.024464029,130934.32002626717,11,-0.00027589076547684943
2024-12-05,2207256.6679502805,130934.32002626717,11,0.00037374524893962757
2024-12-06,2233208.2126267953,710761.4491347657,10,0.011757375140524218
2024-12-09,2291377.191739148,710761.4491347657,10,0.026047270820275026
2024-12-10,2279307.050205777,138809.95672740694,12,-0.00526763623941362
2024-12-11,2355934.6376381447,138809.95672740694,12,0.03361880858721933
2024-12-12,2375504.485790213,138809.95672740694,12,0.008306617611296474
2024-12-13,2336637.9106973903,1742116.894133879,2,-0.016361398315732356
2024-12-16,2339086.2813192364,1742116.894133879,2,0.0010478177259032329
2024-12-17,2325898.432279671,173823.3552735155,5,-0.005638034451695084
2024-12-18,2386286.9923456265,173823.3552735155,5,0.025963541325734862
2024-12-19,2396584.510948782,173823.3552735155,5,0.004315289249024135
2024-12-20,2393154.2549434337,459271.58383598534,4,-0.001431310262449359
2024-12-23,2403435.242176293,459271.58383598534,4,0.004295998559901593
2024-12-24,2409927.9192052996,459271.58383598534,4,0.0027014154220055264
2024-12-27,2462431.627915998,459271.58383598534,4,0.021786422860320176
2024-12-30,2463806.6350379162,459271.58383598534,4,0.0005583940306526092
2024-12-31,2462500.8109737067,2462500.8109737067,0,-0.0005300026575297823
2025-01-02,2462500.8109737067,2462500.8109737067,0,0.0
2025-01-03,2456590.8412755225,486600.9418807106,4,-0.0023999869043077604
2025-01-06,2459486.291772738,486600.9418807106,4,0.0011786458080711437
2025-01-07,2430073.6421747752,486600.9418807106,4,-0.011958858927716531
2025-01-08,2440650.5979696307,486600.9418807106,4,0.00435252480060222
2025-01-09,2436229.7454523644,486600.9418807106,4,-0.001811341828668156
2025-01-10,2423676.5774431466,179.9227776947373,6,-0.00515270287322056
2025-01-13,2449095.140635995,179.9227776947373,6,0.01048760524791792
2025-01-14,2480820.053869262,179.9227776947373,6,0.012953728381914997
2025-01-15,2496271.8684239853,1977842.7340807428,2,0.006228510822711142
2025-01-16,2503731.942878566,1977842.7340807428,2,0.0029884863699924935
2025-01-17,2489380.4256037944,226410.874477289,9,-0.005732050236285202
2025-01-20,2519691.116445994,226410.874477289,9,0.012175997903111968
2025-01-21,2546993.2383513143,226410.874477289,9,0.010835503497678589
2025-01-22,2507588.510385734,742013.953227864,7,-0.015471076786637727
2025-01-23,2521808.7196927588,742013.953227864,7,0.00567087033942304
2025-01-24,2560457.0877113943,7683.658314275439,11,0.015325654050139192
2025-01-27,2591617.9421283114,7683.658314275439,11,0.012170035798088508
2025-01-28,2599205.5008049672,7683.658314275439,11,0.0029277304163224382
2025-02-03,2582743.537386425,1837523.8163888988,4,-0.006333459748928738
2025-02-04,2608060.877801812,1837523.8163888988,4,0.00980249879591466
2025-02-05,2582002.975284052,107668.52874302043,10,-0.009991293815090119
2025-02-06,2664619.9243971533,107668.52874302043,10,0.03199723234401475
2025-02-07,2692219.3447484695,107668.52874302043,10,0.010357732485078763
2025-02-10,2787344.1074217623,888778.536752043,6,0.03533321415985147
2025-02-11,2739526.9890511567,888778.536752043,6,-0.017155082590371462
2025-02-12,2741560.0628595734,155037.01578351142,10,0.0007421258547706255
2025-02-13,2702435.5791416396,155037.01578351142,10,-0.0142708833003371
2025-02-14,2827649.397282108,155037.01578351142,10,0.04633369213568428
2025-02-17,2787713.3913203413,2012634.196664958,4,-0.014123393798450734
2025-02-18,2797622.0463753464,2012634.196664958,4,0.00355440235924398
2025-02-19,2793614.408257712,152826.5723870489,14,-0.0014325159193060433
2025-02-20,2780071.7274227324,152826.5723870489,14,-0.004847727300857474
2025-02-21,2859161.99580207,152826.5723870489,14,0.02844900280780105
2025-02-24,2881997.1360788667,743115.3255399697,11,0.007986654939567739
2025-02-25,2886510.1600516154,743115.3255399697,11,0.0015659363141800053
2025-02-26,2956029.940830161,27754.83137548223,14,0.024084370718896908
2025-02-27,2995318.1239275625,27754.83137548223,14,0.013290861014204847
2025-02-28,2926820.486023734,27754.83137548223,14,-0.022868234714919722
2025-03-03,2974193.8730631024,1793424.9667360126,5,0.01618595580616833
2025-03-04,2978637.6499524005,1793424.9667360126,5,0.001494111372343454
2025-03-05,2989557.782833171,191984.49845473497,13,0.0036661501545665054
2025-03-06,3074488.040981296,191984.49845473497,13,0.028408970261694533
2025-03-07,3080610.401131446,191984.49845473497,13,0.0019913429711035935
2025-03-10,3049558.355914718,1416736.993244269,8,-0.010079835218800515
2025-03-11,3071331.065661949,1416736.993244269,8,0.007139627187327635
2025-03-12,3046517.0144120855,193189.21125046548,14,-0.00807924991456943
2025-03-13,3026147.922058466,193189.21125046548,14,-0.006686026126642375
2025-03-14,3140676.8230143096,193189.21125046548,14,0.03784643180229552
2025-03-17,3169990.507035902,1854890.9390084532,6,0.009333556323524617
2025-03-18,3177742.0703389933,1854890.9390084532,6,0.0024452954309757136
2025-03-19,3179398.9722067136,31464.205854790052,12,0.0005214085445088834
2025-03-20,3146088.7841834575,31464.205854790052,12,-0.010476882050489134
2025-03-21,3074727.8614667905,31464.205854790052,12,-0.02268242494472006
2025-03-24,3099053.393349052,1110471.7653840962,7,0.007911442240828848
2025-03-25,3070175.1790826614,1110471.7653840962,7,-0.009318398427199281
2025-03-26,3080680.832722676,79511.49786196867,12,0.003421841760558264
2025-03-27,3130955.669540123,79511.49786196867,12,0.016319391571964603
2025-03-28,3174928.16320496,79511.49786196867,12,0.014044431894270737
2025-03-31,3119411.5499889087,2037464.5183009142,5,-0.01748594310241325
2025-04-01,3129132.8141663345,2037464.5183009142,5,0.0031163775672562455
2025-04-02,3114816.5495457333,1329164.356213358,2,-0.004575154034941575
2025-04-03,3168786.1794884624,1329164.356213358,2,0.017326744315198983
2025-04-07,3585107.2026801175,1329164.356213358,2,0.13138186031184396
2025-04-08,3540929.034154469,1552550.2141544695,1,-0.012322691073957892
2025-04-09,3509972.2381544695,1552550.2141544695,1,-0.008742563237331802
2025-04-10,3407385.5370716355,846092.0834603572,3,-0.02922721153395036
2025-04-11,3418360.8058430096,846092.0834603572,3,0.003221023465635353
2025-04-14,3406190.807205636,846092.0834603572,3,-0.003560185518325487
2025-04-15,3412931.644679811,846092.0834603572,3,0.0019789958507065997
2025-04-16,3413806.6711896257,846092.0834603572,3,0.0002563855948241045
2025-04-17,3428399.762355815,81430.81205690833,5,0.0042747268875376054
2025-04-22,3467190.5382341854,81430.81205690833,5,0.011314542809242045
2025-04-23,3482870.801773212,81430.81205690833,5,0.004522469522835193
2025-04-24,3467992.9069850184,2663202.9117546836,2,-0.004271733186490545
2025-04-25,3464610.274290252,2663202.9117546836,2,-0.0009753862783148382
2025-04-28,3455507.2769763237,116067.13043329219,13,-0.00262742317122322
2025-04-29,3512958.606919072,116067.13043329219,13,0.01662601908713679
2025-04-30,3549225.856777635,116067.13043329219,13,0.010323847763856753
2025-05-02,3566538.977310975,913974.2393312382,11,0.004877999099516028
2025-05-06,3574468.4769095257,913974.2393312382,11,0.00222330378246105
2025-05-07,3562354.9221299547,260398.45669309434,11,-0.0033889107871065693
2025-05-08,3535077.7688498516,260398.45669309434,11,-0.007657056603386891
2025-05-09,3581099.7398287645,260398.45669309434,11,0.013018658708005226
2025-05-12,3606767.0458722743,2704556.134206639,1,0.007167436795473714
2025-05-13,3611466.0610371996,2704556.134206639,1,0.0013028330094961849
2025-05-14,3610948.573828405,436826.3727685521,6,-0.00014329006559909985
2025-05-15,3618496.547109487,436826.3727685521,6,0.002090302070704819
2025-05-16,3703977.391226689,436826.3727685521,6,0.023623304044738003
2025-05-19,3727391.1070314823,1355070.324176912,5,0.006321236155558463
2025-05-20,3774173.477794391,1355070.324176912,5,0.012550969141568391
2025-05-21,3796040.0369937536,587697.2082202068,6,0.005793734529696559
2025-05-22,3782043.6242318614,587697.2082202068,6,-0.003687108835916386
2025-05-23,3810977.718887713,587697.2082202068,6,0.007650386280705135
2025-05-26,3789994.9523098115,2514371.8740420034,2,-0.005505874902891228
2025-05-27,3826905.3389943154,2514371.8740420034,2,0.009738901277957845
2025-05-28,3814510.3975796765,214799.4624703233,11,-0.003238894176017526
2025-05-29,3924376.4396658936,214799.4624703233,11,0.028802134647719857
2025-05-30,4007055.7055205707,214799.4624703233,11,0.0210681281792926
2025-06-02,3926914.0482279193,1593972.239852094,9,-0.020000135556448417
2025-06-03,3982889.716854935,1593972.239852094,9,0.014254365626432675
2025-06-04,3994341.4854951263,257227.63897096115,14,0.002875241207841883
2025-06-05,4000485.1279485538,257227.63897096115,14,0.0015380864344567424
2025-06-06,4016907.8314635456,257227.63897096115,14,0.004105177994603304
2025-06-09,4087442.900735506,2704228.5820508534,5,0.01755954386592462
2025-06-10,4106220.9331011428,2704228.5820508534,5,0.004594078210183206
2025-06-11,4121230.8849853883,115949.68568149919,13,0.0036554175064587024
2025-06-12,4194754.753134745,115949.68568149919,13,0.0178402691334818
2025-06-13,4162915.611281696,115949.68568149919,13,-0.00759022725446723
2025-06-16,4229853.357613096,1269949.2552120741,9,0.0160795347736562
2025-06-17,4182480.1073801415,1269949.2552120741,9,-0.011199738200779463
2025-06-18,4194690.593944797,147146.17831875867,13,0.0029194368535334636
2025-06-19,4118281.491309489,147146.17831875867,13,-0.01821567072088881
2025-06-20,4164745.1660284516,147146.17831875867,13,0.011282296952505932
2025-06-23,4188145.674665964,3025707.945225895,4,0.0056187131996428
2025-06-24,4268955.416208735,3025707.945225895,4,0.019294873631446885
2025-06-25,4255996.045521425,174502.83563660056,14,-0.003035724064511025
2025-06-26,4231628.588033467,174502.83563660056,14,-0.005725441759655836
2025-06-27,4262990.913096913,174502.83563660056,14,0.007411407785677504
2025-06-30,4287953.258803284,1393015.7417925722,10,0.0058555943972764535
2025-07-02,4366538.0254132915,1393015.7417925722,10,0.01832687108906117
2025-07-03,4355098.798153543,227259.87002810242,14,-0.0026197475421425587
2025-07-04,4363905.765730846,227259.87002810242,14,0.002022219927831914
2025-07-07,4372866.397043069,227259.87002810242,14,0.0020533512392935105
2025-07-08,4410323.099502932,3237127.0429903013,4,0.00856570932173728
2025-07-09,4426567.800232573,3237127.0429903013,4,0.0036833357473224915
2025-07-10,4449596.570097039,256079.4776574205,14,0.0052023985407512185
2025-07-11,4467417.359800218,256079.4776574205,14,0.004005034933490581
2025-07-14,4513659.948597215,256079.4776574205,14,0.010351078726851926
2025-07-15,4549063.39116603,1499369.2988967835,10,0.007843622021153518
2025-07-16,4581003.779805096,1499369.2988967835,10,0.00702131095844738
2025-07-17,4649334.880637091,254834.96432060294,14,0.014916185211028665
2025-07-18,4683779.2582252985,254834.96432060294,14,0.007408452708290936
2025-07-21,4748996.517143896,254834.96432060294,14,0.013924067579416333
2025-07-22,4770778.528213674,3458300.479880568,4,0.00458665551578008
2025-07-23,4804563.014315475,3458300.479880568,4,0.007081545685259538
2025-07-24,4829447.587257269,222602.36239566212,12,0.005179362382728536
2025-07-25,4852485.254922319,222602.36239566212,12,0.004770249029275364
2025-07-28,4918575.693404849,222602.36239566212,12,0.013619915365118862
2025-07-29,5005832.962656948,1581552.1895979815,8,0.017740353039417345
2025-07-30,5066153.577237118,1581552.1895979815,8,0.012050065399735965
2025-07-31,5010348.003893445,16866.345098824124,13,-0.011015373397761707
2025-08-01,4959677.283414772,16866.345098824124,13,-0.010113213780619246
2025-08-04,4956609.797501627,16866.345098824124,13,-0.0006184849815535909
