date,nav,n_pos,ret
2025-01-23,1086231.0633123254,3,-0.007909310735308428
2025-01-24,1091984.643791645,3,0.005296829260042379
2025-01-27,1100614.9612702671,3,0.007903332274578068
2025-01-28,1092625.118034091,3,-0.007259435422315774
2025-02-03,1093629.7935659157,3,0.0009195061647788716
2025-02-04,1104484.2679199234,0,0.009925181645440873
2025-02-05,1104484.2679199234,0,0.0
2025-02-06,1104484.2679199234,0,0.0
2025-02-07,1104484.2679199234,0,0.0
2025-02-10,1104484.2679199234,0,0.0
2025-02-11,1104484.2679199234,0,0.0
2025-02-12,1097270.6915414042,14,-0.006531171686224635
2025-02-13,1078973.1380269814,14,-0.016675514670604352
2025-02-14,1130541.4901988548,14,0.047793916599417674
2025-02-17,1145769.4965473213,14,0.013469657222211273
2025-02-18,1166237.967516095,14,0.017864388108126183
2025-02-19,1169255.5044646333,14,0.0025874110023749175
2025-02-20,1155423.6933786473,14,-0.011829588172278194
2025-02-21,1187480.0465098247,14,0.027744240761966132
2025-02-24,1182312.1838680452,14,-0.004351957455595579
2025-02-25,1179354.9594630206,14,-0.0025012212894143238
2025-02-26,1240228.3642945131,14,0.051615846733038984
2025-02-27,1247943.5481266459,14,0.00622077679744204
2025-02-28,1201530.0350564376,14,-0.03719199729818068
2025-03-03,1199826.9646255572,14,-0.0014174181095693017
2025-03-04,1194820.6659081476,14,-0.004172517258746566
2025-03-05,1208177.6971787922,0,0.011179109678767007
2025-03-06,1208177.6971787922,0,0.0
2025-03-07,1208177.6971787922,0,0.0
2025-03-10,1208177.6971787922,0,0.0
2025-03-11,1208177.6971787922,0,0.0
2025-03-12,1208177.6971787922,0,0.0
2025-03-13,1200288.6217413868,14,-0.0065297310617693505
2025-03-14,1245001.3547906617,14,0.03725165117736884
2025-03-17,1267153.3890565361,14,0.01779277924528766
2025-03-18,1299300.5790575175,14,0.025369612138998132
2025-03-19,1298709.4308302412,14,-0.0004549741890402803
2025-03-20,1266820.0521107009,14,-0.02455466785911764
2025-03-21,1238984.242985205,14,-0.021972977992507636
2025-03-24,1246345.6119484915,14,0.005941454869151652
2025-03-25,1222515.1347600198,14,-0.019120280089257147
2025-03-26,1224427.1423135996,14,0.0015639949962296118
2025-03-27,1232001.6953948785,14,0.006186201546436232
2025-03-28,1225030.8841121744,14,-0.005658118254837197
2025-03-31,1203315.463737639,14,-0.017726426864963063
2025-04-01,1201764.4029955135,14,-0.0012889892874039521
2025-04-02,1199265.5231872557,14,-0.002079342508422677
2025-04-03,1176892.9357586044,0,-0.018655241058870953
2025-04-07,1176892.9357586044,0,0.0
2025-04-08,1176892.9357586044,0,0.0
2025-04-09,1176892.9357586044,0,0.0
2025-04-10,1176892.9357586044,0,0.0
2025-04-11,1176892.9357586044,0,0.0
2025-04-14,1171400.81386575,2,-0.0046666283108532935
2025-04-15,1164835.9780294793,2,-0.005604260948569917
2025-04-16,1156513.9806323969,2,-0.007144351268373872
2025-04-17,1164206.1051335928,2,0.006651129713961534
2025-04-22,1167355.8905390406,2,0.002705522150724615
2025-04-23,1166261.7863101633,2,-0.0009372499318712757
2025-04-24,1161984.7823941265,2,-0.0036672760492036938
2025-04-25,1157740.8927598016,2,-0.003652276431349577
2025-04-28,1146136.5125217517,2,-0.010023296499778622
