fm_thr,rsi_w_coef,trend_filter,ta_rsi_sell,return,sharpe,max_dd,buy_cnt,sell_cnt,composite
5.0,0.15,1.0,78,-71.3129044655119,-0.6959903450594846,-77.25088719289545,772,4,-2.3495359335678376
5.0,0.15,1.0,75,-71.3129044655119,-0.6959903450594846,-77.25088719289545,772,4,-2.3495359335678376
5.0,0.15,1.0,72,-71.3129044655119,-0.6959903450594846,-77.25088719289545,772,4,-2.3495359335678376
3.0,0.15,0.6,72,-73.3260181404456,-0.7339386964229296,-78.84783228811875,774,76,-2.429899519646896
5.0,0.25,0.6,72,-73.3260181404456,-0.7339386964229296,-78.84783228811875,774,76,-2.429899519646896
5.0,0.25,0.6,82,-73.67183693596336,-0.7410896916036483,-79.12189655782294,774,29,-2.443956674393829
5.0,0.25,0.6,75,-73.67183693596336,-0.7410896916036483,-79.12189655782294,774,55,-2.443956674393829
5.0,0.25,0.6,78,-73.67183693596336,-0.7410896916036483,-79.12189655782294,774,41,-2.443956674393829
3.0,0.15,0.6,75,-73.67183693596336,-0.7410896916036483,-79.12189655782294,774,55,-2.443956674393829
3.0,0.15,0.6,78,-73.67183693596336,-0.7410896916036483,-79.12189655782294,774,41,-2.443956674393829
3.0,0.15,0.6,82,-73.67183693596336,-0.7410896916036483,-79.12189655782294,774,29,-2.443956674393829
3.0,0.2,0.4,78,-75.33501146454495,-0.8085063217083326,-80.24350150170771,746,75,-2.524183377124805
3.0,0.2,0.4,72,-75.65264491722515,-0.8190110174592186,-79.97822506436574,746,146,-2.537118429693539
3.0,0.2,0.4,75,-75.97546681218662,-0.8265541035498367,-80.24378979421024,746,104,-2.550617015168164
3.0,0.2,0.4,82,-76.0701542484189,-0.8260722214204642,-80.58048913040466,746,51,-2.554274983411967
5.0,0.2,0.8,82,-77.88512553621499,-0.8247893652534851,-82.95848797600628,832,10,-2.6153449761158627
5.0,0.2,0.8,78,-77.88512553621499,-0.8247893652534851,-82.95848797600628,832,10,-2.6153449761158627
5.0,0.2,0.8,75,-77.88512553621499,-0.8247893652534851,-82.95848797600628,832,10,-2.6153449761158627
5.0,0.2,0.8,72,-77.88512553621499,-0.8247893652534851,-82.95848797600628,832,10,-2.6153449761158627
3.0,0.1,1.0,82,-83.63637729471459,-1.0071157777364876,-87.39027987338808,886,4,-2.874108469556197
3.0,0.1,1.0,78,-83.63637729471459,-1.0071157777364876,-87.39027987338808,886,4,-2.874108469556197
3.0,0.1,1.0,75,-83.63637729471459,-1.0071157777364876,-87.39027987338808,886,4,-2.874108469556197
3.0,0.1,1.0,72,-83.63637729471459,-1.0071157777364876,-87.39027987338808,886,4,-2.874108469556197
7.0,0.3,0.8,82,-86.0698997871507,-1.0875021884838278,-89.23110544561482,907,11,-2.9847911853448963
7.0,0.3,0.8,78,-86.0698997871507,-1.0875021884838278,-89.23110544561482,907,14,-2.9847911853448963
7.0,0.3,0.8,75,-86.0698997871507,-1.0875021884838278,-89.23110544561482,907,16,-2.9847911853448963
7.0,0.3,0.8,72,-86.0698997871507,-1.0875021884838278,-89.23110544561482,907,17,-2.9847911853448963
7.0,0.25,1.0,82,-90.37703809522944,-1.27244006190624,-92.65186153222092,961,8,-3.198242752216042
7.0,0.25,1.0,78,-90.37703809522944,-1.27244006190624,-92.65186153222092,961,8,-3.198242752216042
7.0,0.25,1.0,75,-90.37703809522944,-1.27244006190624,-92.65186153222092,961,8,-3.198242752216042
7.0,0.25,1.0,72,-90.37703809522944,-1.27244006190624,-92.65186153222092,961,8,-3.198242752216042
3.0,0.25,0.4,78,-90.75081146085007,-1.298514899175278,-92.89725541435412,931,95,-3.220622069738676
3.0,0.25,0.4,82,-90.90667903562856,-1.306807467372251,-92.92523451364268,931,70,-3.228699061558685
3.0,0.25,0.4,75,-90.99067106364225,-1.3157309303974294,-92.89721242490361,931,130,-3.23470414134295
3.0,0.25,0.4,72,-91.04677628617239,-1.320975708639683,-92.82671251504667,931,175,-3.238273709586185
5.0,0.3,0.6,78,-92.2948932207626,-1.3792520366929717,-94.19261523884474,973,66,-3.3031254570166007
5.0,0.2,1.0,78,-92.58816671309236,-1.3572275847962403,-94.34006345921411,1045,10,-3.3035562256889093
5.0,0.2,1.0,82,-92.58816671309236,-1.3572275847962403,-94.34006345921411,1045,10,-3.3035562256889093
5.0,0.2,1.0,75,-92.58816671309236,-1.3572275847962403,-94.34006345921411,1045,10,-3.3035562256889093
5.0,0.2,1.0,72,-92.58816671309236,-1.3572275847962403,-94.34006345921411,1045,10,-3.3035562256889093
5.0,0.3,0.6,82,-92.42448165581246,-1.3873675982197802,-94.21522890890087,973,43,-3.3103271756889887
