symbol,market,trade_date,close,weekly_rsi,monthly_rsi,resonance,rsi_14,frac_balance_10,frac_balance_20,atr_ratio,fusion_score
06098.HK,HK,2026-04-17,6.23,58.042248349122815,45.83478154619075,0.0,54.00989130793187,0.0,0.5,2.728731942215088,0.2345802031337459
06110.HK,HK,2026-04-17,2.92,58.124844436430614,45.02380923360719,0.0,55.900324125481426,0.5,0.6666666666666666,3.546966731898237,0.44760826306461154
06160.HK,HK,2026-04-17,191.5,61.56430264735645,50.84375440520929,0.0,57.36080509426415,-0.5,0.0,3.480044759418128,-0.010420854425892478
06169.HK,HK,2026-04-17,0.46,20.29321774340538,24.895212669929734,0.75,34.245279969368454,-0.5,0.0,3.2608695652173862,-0.7544936349953366
06186.HK,HK,2026-04-17,3.35,13.27736651567966,8.431638318473688,0.75,30.80109455733924,0.0,0.0,3.219616204690831,-0.7327538237574764
06618.HK,HK,2026-04-17,48.18,33.27754402814597,25.83448078872189,0.25,44.83368000045098,-0.5,0.0,4.529146652434322,-0.47644391962751437
06639.HK,HK,2026-04-17,1.83,44.108034584031465,19.32621441453368,0.25,51.08303645153365,0.0,0.0,0.0,-0.21587312312409052
06655.HK,HK,2026-04-17,17.21,53.56465359272147,55.22849573350218,0.0,51.578830401763035,-0.5,0.0,4.727318004482442,-0.08759638351966585
06690.HK,HK,2026-04-17,21.04,14.235198745654344,15.579784951086452,0.75,33.48726553254524,0.5,0.5,3.3134166214014105,-0.382242396101643
06699.HK,HK,2026-04-17,90.0,85.8256569102322,83.05645259895063,-1.75,78.59509327890068,0.0,0.6666666666666666,4.035714285714286,1.178212086329202
06865.HK,HK,2026-04-17,9.38,42.94742106932102,32.20210583266278,0.0,46.22091360470598,0.0,0.5,5.003045994517208,0.013875922949246123
06878.HK,HK,2026-04-17,0.037,2.8999428717061875,8.630352170247036,1.75,16.689663399995553,0.0,0.0,0.0,-1.1087600502613915
06887.HK,HK,2026-04-17,44.18,59.29260790074967,46.29179530788134,0.0,55.116115847696065,-0.5,-0.25,2.7678975619220068,-0.12830516397035888
06888.HK,HK,2026-04-17,0.137,35.68561147175838,35.29311580112282,0.0,38.26267172622177,0.0,-0.0833333333333333,9.071949947862358,-0.23555213890784826
07500.HK,HK,2026-04-17,1.838,75.23272120936868,56.97967335109271,-0.5,58.278574826446295,-0.5,-0.5,3.917301414581068,0.12482953375571164
08083.HK,HK,2026-04-17,0.161,83.67098324004596,61.92049976925008,-1.5,74.1227577579688,0.0,0.0,5.767524401064774,0.8126437017459581
09618.HK,HK,2026-04-17,121.7,75.79577751026497,68.31851086423951,-0.5,68.5829817739314,0.5,0.0,2.7350628007982145,0.668538415227731
09863.HK,HK,2026-04-17,56.65,87.2182661225347,75.43102363846509,-1.75,73.65386413939714,0.0,0.0,4.38280166435506,0.9574014919939784
09888.HK,HK,2026-04-17,121.7,58.57460188406701,44.06564186714748,0.0,58.06234990629137,0.0,0.5,3.6976170912078894,0.24330080098006113
09988.HK,HK,2026-04-17,135.6,56.787484982895414,29.66619985318229,0.25,56.56617231375947,0.5,0.25,3.682048040455119,0.1973847622431745
09999.HK,HK,2026-04-17,182.1,52.11140248087373,18.659562853890094,0.25,52.94727611430546,-0.5,0.0,2.961481132815565,-0.2965907804015192
000001.SZ,CSI300,2026-04-16,11.09,58.09142590218326,39.362866116639225,0.0,51.999279989796854,0.0,0.0,0.0130801574165184,0.1043385175252159
000002.SZ,CSI300,2026-04-16,3.96,22.09749410366379,4.428877023116414,0.75,38.63924479458332,0.0,0.0,0.0271018328255624,-0.6166822214691617
000063.SZ,CSI300,2026-04-16,35.4,48.06975119575339,28.545471378085395,0.25,53.70481912245632,0.0,0.0,0.0303659575131702,-0.09533915323180721
000100.SZ,CSI300,2026-04-16,4.33,28.760772763707408,28.635844658909306,0.75,44.87197580036251,0.0,0.0,0.0282324098122341,-0.4483011401209489
000157.SZ,CSI300,2026-04-16,8.2,24.14658543719115,36.00828679112627,0.5,38.20929276396352,0.0,0.0,0.0377850732348351,-0.4190619846243366
000166.SZ,CSI300,2026-04-16,4.75,34.23805108239675,20.515681286392336,0.25,47.24962362066983,0.0,0.0,0.0186508696515222,-0.27834004996340683
000301.SZ,CSI300,2026-04-16,11.54,51.555769985910715,59.26107614351691,0.0,52.53345633117091,0.0,0.0,0.0384462405767666,0.11115847814917718
000333.SZ,CSI300,2026-04-16,77.9,46.87897341974422,29.601894334545563,0.25,57.17663915577963,0.0,0.0,0.0179696021298295,-0.09297937705609374
000338.SZ,CSI300,2026-04-16,27.4,70.11494291514671,67.37277490068513,-0.5,60.16745935467081,0.0,0.0,0.0539170247166742,0.4817758975502037
000408.SZ,CSI300,2026-04-16,87.94,75.83521014944692,73.22769044779449,-0.75,63.67168688956464,0.0,0.0,0.0357278428609375,0.6374922232784823
000425.SZ,CSI300,2026-04-16,10.2,23.03263799773474,32.87440240473586,0.5,42.96449827861408,0.0,0.0,0.0406693033270704,-0.4267247509979961
000538.SZ,CSI300,2026-04-16,55.52,43.17825282542095,26.47777984846047,0.25,48.62305875721796,0.0,0.0,0.0128489372356761,-0.16571971638576732
000568.SZ,CSI300,2026-04-16,103.05,32.39831107930057,14.653469277257244,0.25,41.79053898024642,0.0,0.0,0.0211907391833989,-0.3331253163280604
000596.SZ,CSI300,2026-04-16,106.8,34.993216055920044,9.736297627677956,0.25,46.07502064476772,0.0,0.0,0.0319944060225178,-0.3120118901966109
000617.SZ,CSI300,2026-04-16,9.73,47.26712517025206,60.34639484687269,0.0,46.47319202341765,0.0,0.0,0.0581828563834002,0.05476475684467208
000625.SZ,CSI300,2026-04-16,10.15,25.229336937181202,5.775525635892691,0.75,42.84892072947203,0.0,0.0,0.0153488522951878,-0.5686871356458916
000630.SZ,CSI300,2026-04-16,6.32,45.23278197361755,58.542218103798184,0.0,50.5761685496773,0.0,0.0,0.0395958177006928,0.040757937131615185
000651.SZ,CSI300,2026-04-16,37.32,32.79508755866186,13.192042854892748,0.25,43.84821740311372,0.0,0.0,0.0119672360031168,-0.32818394969753206
000661.SZ,CSI300,2026-04-16,87.3,43.51861686520796,26.963116257275573,0.25,49.47594428529328,0.0,0.0,0.0218310857237067,-0.15814179649503973
000708.SZ,CSI300,2026-04-16,16.84,57.77413588984356,95.81518666504581,-0.25,53.62430470968278,0.0,0.0,0.0288845616362013,0.37157615196215116
000725.SZ,CSI300,2026-04-16,4.03,29.3086220862925,30.056310675076602,0.5,46.79798254160705,0.0,0.0,0.0219515921323671,-0.36351494465124373
000768.SZ,CSI300,2026-04-16,24.72,28.821607450816174,31.339951551355412,0.5,42.17471329862863,0.0,0.0,0.0292973173361111,-0.3776197287285366
000776.SZ,CSI300,2026-04-16,19.88,59.989537999077456,36.23190976576319,0.0,59.03896801557726,0.0,0.0,0.0276347878087651,0.13306457626627674
000786.SZ,CSI300,2026-04-16,25.57,27.961004770589824,40.90027493172404,0.5,44.05820826231523,0.0,0.0,0.030908688738636,-0.3471162657261459
000792.SZ,CSI300,2026-04-16,38.51,73.59614870180158,93.3185774367596,-0.75,56.52746932439715,0.0,0.0,0.0436341216102001,0.6642301893073722
000807.SZ,CSI300,2026-04-16,36.42,73.09323842609567,87.79615715717674,-0.75,63.18759748228532,0.0,0.0,0.04314938111871,0.6599236399923764
000858.SZ,CSI300,2026-04-16,103.44,48.7660082697711,9.35741581221157,0.25,50.85601854714297,0.0,0.0,0.0152523469838166,-0.16389893597851699
000876.SZ,CSI300,2026-04-16,8.91,69.8027226995961,43.07163157241837,0.0,64.2465104684681,0.0,0.0,0.0217548467413679,0.2687560375945571
000895.SZ,CSI300,2026-04-16,28.71,69.96873008489143,84.70687745435407,-0.25,60.65945966275263,0.0,0.0,0.0218063408325052,0.47352693232353343
000938.SZ,CSI300,2026-04-16,28.09,75.5501874595094,77.75501836296527,-0.75,61.83705194698837,0.0,0.0,0.0414881540102502,0.6450010289080165
000963.SZ,CSI300,2026-04-16,35.29,43.20632830854764,12.855844299793986,0.25,47.99280369683462,0.0,0.0,0.0254712948230192,-0.21481128842190447
000975.SZ,CSI300,2026-04-16,30.14,46.926161680351235,69.77457387753822,0.0,49.96024635332285,0.0,0.0,0.0504952054460919,0.0946936767241539
000977.SZ,CSI300,2026-04-16,68.28,75.98851588770772,73.11039563953528,-0.75,65.28548931080945,0.0,0.0,0.0401077221241077,0.6434049127653286
000983.SZ,CSI300,2026-04-16,6.44,25.51467455132675,24.359555916254905,0.75,36.84280898214576,0.0,0.0,0.0302525002838022,-0.5190310531188849
000999.SZ,CSI300,2026-04-16,27.8,26.192724684597138,22.491665427095654,0.75,43.79739486439565,0.0,0.0,0.0187315125545116,-0.49812938249263544
001391.SZ,CSI300,2026-04-16,5.32,29.12913753667226,1.842780453012324,0.75,41.7597916292998,0.0,0.0,0.0159465657197755,-0.5473758885928212
001965.SZ,CSI300,2026-04-16,9.26,15.59737186539634,62.119768737111265,0.5,44.75805673349229,0.0,0.0,0.0247948139663505,-0.3923901619162208
001979.SZ,CSI300,2026-04-16,8.53,11.436615504816302,41.96338360811367,0.5,45.6346993907521,0.0,0.0,0.0329934867773162,-0.50087092091514
002001.SZ,CSI300,2026-04-16,37.62,76.43849394773906,95.99079599690377,-0.75,58.80701548339251,0.0,0.0,0.0458935490020118,0.7082438466405135
002027.SZ,CSI300,2026-04-16,6.29,24.019273998137777,20.02350269588848,0.75,40.080025877015096,0.0,0.0,0.0260657067154505,-0.5391591231347992
002028.SZ,CSI300,2026-04-16,215.88,61.85231983613092,91.20879577234382,-0.25,55.647435273520976,0.0,0.0,0.0414934733091604,0.40157954002895324
002049.SZ,CSI300,2026-04-16,70.99,44.943291338848205,20.529772359736697,0.25,51.54803131519481,0.0,0.0,0.0269064420547418,-0.1604019007059382
002050.SZ,CSI300,2026-04-16,45.78,47.497775834536604,43.163491082976805,0.0,52.83109382086037,0.0,0.0,0.0333528999614187,0.016106826372259457
002074.SZ,CSI300,2026-04-16,39.78,62.046264892703945,45.94119423040201,0.0,61.07808828175434,0.0,0.0,0.0358033285615583,0.1931818067096364
002142.SZ,CSI300,2026-04-16,31.3,63.53419570916506,71.44426800521828,-0.25,57.465472583207884,0.0,0.0,0.0194108115725773,0.35461294824165024
002179.SZ,CSI300,2026-04-16,35.62,51.61250658037481,53.021581522075955,0.0,53.122418546719764,0.0,0.0,0.0293157510674023,0.09172251007190124
002230.SZ,CSI300,2026-04-16,48.1,36.37325056412046,34.15671200897482,0.0,46.30138695072468,0.0,0.0,0.0266589463928682,-0.14395469285031265
002236.SZ,CSI300,2026-04-16,19.17,62.2453322546975,25.90139323306549,-0.75,70.17252654699202,0.0,0.0,0.0241350651314487,0.3585502878435975
002241.SZ,CSI300,2026-04-16,24.22,45.69642589626818,12.694911129145012,0.25,52.14674402811454,0.0,0.0,0.0285285230206515,-0.1785359051858014
002252.SZ,CSI300,2026-04-16,5.74,17.295338984201337,3.7599322854666184,0.75,38.97846373197225,0.0,0.0,0.0162189916894463,-0.6651287915900627
002304.SZ,CSI300,2026-04-16,50.4,11.58829636468009,8.963781593963816,0.75,44.85382666964809,0.0,0.0,0.0182248274917161,-0.685458296846938
002311.SZ,CSI300,2026-04-16,49.22,13.666721072921092,45.67460709773508,0.5,40.81323887914438,0.0,0.0,0.0325823141139443,-0.48043962186237044
002352.SZ,CSI300,2026-04-16,37.56,47.860967401531376,46.08586283975183,0.0,51.726908798013696,0.0,0.0,0.0180397705557082,0.026562533938116716
002371.SZ,CSI300,2026-04-16,473.56,61.10758367097501,38.569526355609526,0.0,54.56356035649031,0.0,0.0,0.0363489954790419,0.13882696000337788
002384.SZ,CSI300,2026-04-16,149.55,98.67878846286197,87.35994505585994,-1.75,77.93097008796235,0.0,0.0,0.0505100460226518,1.22833732105558
002415.SZ,CSI300,2026-04-16,33.54,75.80906350795424,43.443175272358545,-0.5,68.83794734422338,0.0,0.0,0.0221032313857592,0.48011914979569625
002422.SZ,CSI300,2026-04-16,35.92,69.29590743235164,64.67610518153256,0.0,60.984475098978336,0.0,0.0,0.0370763859092898,0.32935818878470513
002459.SZ,CSI300,2026-04-16,10.94,40.02360078459491,27.58740312535201,0.25,43.57855192571848,0.0,0.0,0.0489894769824382,-0.20786802788488418
002460.SZ,CSI300,2026-04-16,85.6,82.29018086260783,89.80952153850951,-0.75,63.844823311684074,0.0,0.0,0.0487019381423357,0.7591605158748124
002463.SZ,CSI300,2026-04-16,94.4,77.3323634840807,95.92657425622836,-0.75,64.61899619981924,0.0,0.0,0.0496646357996235,0.7341404894586389
002466.SZ,CSI300,2026-04-16,65.32,77.74331764766688,60.249020177028804,-0.5,68.63695158843774,0.0,0.0,0.0425489292781263,0.5570863836662384
002475.SZ,CSI300,2026-04-16,60.45,80.23944564838831,73.25570869432856,-1.75,73.40818683138829,0.0,0.0,0.0401375532687574,0.9847108203376519
002493.SZ,CSI300,2026-04-16,12.14,33.47966733542343,48.39332286072741,0.0,43.61788798859731,0.0,0.0,0.0477606936991025,-0.13073306121366823
002594.SZ,CSI300,2026-04-16,105.54,66.16996594060888,71.46312846092441,-0.25,58.78865449496957,0.0,0.0,0.0301341215961594,0.38449509593544634
002600.SZ,CSI300,2026-04-16,13.74,54.194177318715376,38.21447497646702,0.0,51.91894128807187,0.0,0.0,0.0323263665584195,0.0618487916676781
002601.SZ,CSI300,2026-04-16,17.9,36.34292452889914,30.33296719149378,0.0,45.680227091304964,0.0,0.0,0.0332721175533345,-0.15943592770562073
002625.SZ,CSI300,2026-04-16,39.96,25.153386639827858,13.26977607715358,0.75,46.816082909459574,0.0,0.0,0.0319951186552552,-0.5314659993295051
002648.SZ,CSI300,2026-04-16,28.2,71.56556934222418,92.98786023543661,-0.75,54.508434765149524,0.0,0.0,0.0522381592205088,0.6371230453505214
002709.SZ,CSI300,2026-04-16,49.16,70.6235039656976,81.29626797072007,-0.75,61.28394935958021,0.0,0.0,0.049679470384913,0.6073455249926554
002714.SZ,CSI300,2026-04-16,46.44,34.07154056000276,26.44035732888719,0.25,54.724789923815585,0.0,0.0,0.0343292438603279,-0.23700804587314137
002736.SZ,CSI300,2026-04-16,12.27,45.929457568759126,16.48577325034759,0.25,60.05226927732383,0.0,0.0,0.0239738459371748,-0.139436743178037
002916.SZ,CSI300,2026-04-16,270.14,72.15524145320032,99.05675911398039,-0.75,59.33249098940974,0.0,0.0,0.0504830751150691,0.6784654472092146
002920.SZ,CSI300,2026-04-16,108.39,28.57329076517567,25.372277974082593,0.75,49.82202952442414,0.0,0.0,0.0288342407351442,-0.44674226400124967
002938.SZ,CSI300,2026-04-16,61.0,62.06869727034486,42.175337930518694,0.0,65.59610500993765,0.0,0.0,0.0476705414278071,0.19376016223269937
003816.SZ,CSI300,2026-04-16,4.42,62.10326404155843,90.99766653757895,-0.25,53.088357408252726,0.0,0.0,0.0264760835095123,0.3956676083648244
300014.SZ,CSI300,2026-04-16,70.98,58.02068276199713,63.16923567701006,0.0,58.49141164634471,0.0,0.0,0.0478101696336256,0.20601135997535355
300015.SZ,CSI300,2026-04-16,9.58,21.680134942689463,18.430719796527654,0.75,41.747145668020366,0.0,0.0,0.0200326642997978,-0.5626910586737133
300033.SZ,CSI300,2026-04-16,239.77,64.08439280736812,37.86332524902813,0.0,60.53474128979101,0.0,0.0,0.0380211127700403,0.18340233593698807
300059.SZ,CSI300,2026-04-16,20.06,36.03460515098576,12.686776434473359,0.25,49.86244195039754,0.0,0.0,0.0287491748696399,-0.2802014802296406
300122.SZ,CSI300,2026-04-16,15.69,38.996962153608,11.68419839939611,0.25,47.961431955891904,0.0,0.0,0.0301275104409742,-0.26029896338064273
300124.SZ,CSI300,2026-04-16,66.84,31.224481958031703,31.828908944185685,0.0,44.58335359385845,0.0,0.0,0.0287384902903154,-0.20772633005286453
300251.SZ,CSI300,2026-04-16,16.16,45.97202058192186,21.147318373655168,0.25,49.18405852232717,0.0,0.0,0.0457335789252989,-0.1552097182698408
300274.SZ,CSI300,2026-04-16,133.9,35.318290977035446,25.60895799184999,0.25,40.90519721120303,0.0,0.0,0.0581761467550926,-0.2689213708709455
300308.SZ,CSI300,2026-04-16,809.61,87.19424206316991,81.45401757820332,-1.75,78.16215275705522,0.0,0.0,0.0460441391956083,1.0957328763211436
300316.SZ,CSI300,2026-04-16,45.6,54.774416965100045,43.39162807206815,0.0,54.97599616151914,0.0,0.0,0.0534911334244092,0.09471565628273614
300347.SZ,CSI300,2026-04-16,58.62,64.47115336546517,28.37197856990079,0.25,57.914369776339285,0.0,0.0,0.0389414957528022,0.07758059735254652
300394.SZ,CSI300,2026-04-16,355.57,80.41508607083625,93.74789391342313,-0.75,58.51337596683849,0.0,0.0,0.0659054733431412,0.7385739446538023
300408.SZ,CSI300,2026-04-16,65.07,77.81868243090372,94.38665354656105,-0.75,69.80340005833986,0.0,0.0,0.044954319534791,0.749020001296497
300413.SZ,CSI300,2026-04-16,21.17,34.53242419678904,23.706961474412225,0.25,45.623432750527975,0.0,0.0,0.0263137587515526,-0.269180445680628
300418.SZ,CSI300,2026-04-16,52.02,42.43576122805348,49.63598374767853,0.0,52.13467264878268,0.0,0.0,0.0562611262735552,-0.013086315061341357
