symbol,name,trade_date,close,fusion_score,frac_balance_20,top_count_20,fractal_top_5,frac_balance_10,fractal_bottom_5,fractal_top_10,fractal_bottom_10,top_count_10,bottom_count_20,bottom_count_10,bull_divergence,resonance,td9_count,macd_cross_up,td9_extreme,entropy_60,hurst_60,apen_20,apen_60,bb_ratio,atr_ratio,mom_5d,mom_10d,rsi_14,macd,vol_ratio
06655.HK,华新建材,2026-04-17,17.21,-0.1047291904959019,0.0,1.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,0,-1,0,0,,,,,0.6332986558714553,4.727318004482442,-0.0342312008978675,0.0736119775421084,64.78102188126033,0.1924623869230295,0.1158714453852624
01810.HK,小米集团-W,2026-04-17,31.54,-0.11196877776228949,0.0,1.0,0,0.0,0,0,0,0.0,1.0,0.0,0,3,-1,0,0,,,,,0.3713180050460357,3.618987227103904,0.0207119741100323,-0.0069269521410579,44.66230936138046,-0.7818655624888216,0.3141413333190284
01398.HK,工商银行,2026-04-17,7.0,-0.11901905145796282,-0.25,2.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,1,0,0,,,,,0.7657775448114659,1.765306122448981,0.0043041606886657,0.0204081632653061,78.66666651982214,0.1476916570094477,0.5747881901077575
01513.HK,丽珠医药,2026-04-17,28.84,-0.12150362058344254,0.0,1.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,0,-1,0,0,,,,,0.6891104474713198,3.0612244897959173,-0.0055172413793103,0.0517870167760758,66.35220124325579,0.2389920550384516,0.268689411331119
00939.HK,建设银行,2026-04-17,8.61,-0.12188720630174854,-0.4,3.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,0,2,0,0,,,,,0.8491467187094593,1.6343122614899632,0.0189349112426036,0.0262216924910605,81.17647045453285,0.1499450073659556,0.5238741068467041
00525.HK,广深铁路股份,2026-04-17,2.26,-0.1241499438793309,0.0,1.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,0,-1,0,0,,,,,0.6404144646920769,3.4766118836915285,-0.017391304347826,0.0044444444444442,64.15094322677106,0.0349627884307008,0.2220587499997846
00101.HK,恒隆地产,2026-04-17,9.24,-0.12454912384911777,0.0,1.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-2,0,0,,,,,0.6795819706797857,2.566481137909709,-0.0064516129032258,0.0584192439862543,59.49999995835002,0.019162454756838,0.3688029655946317
01113.HK,长实集团,2026-04-17,47.18,-0.12508950796038495,0.0,1.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-2,0,0,,,,,0.6491817080175251,2.286077635802096,-0.0179017485428809,0.0611785874943768,64.86486485370875,0.5102285681093548,0.2395964758339014
00023.HK,东亚银行,2026-04-17,13.77,-0.12957259215864295,0.0,1.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,0,1,0,0,,,,,0.7034575183357958,1.991907874260816,-0.0093525179856115,0.0535577658760519,54.77386930819928,-0.0505492721013656,0.2038594084483349
02015.HK,理想汽车-W,2026-04-17,70.9,-0.13115591491572448,0.0,1.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,0,-1,0,0,,,,,0.5801922231627316,3.621801329840821,-0.0444743935309972,0.0472673559822747,51.19363394845247,0.9041790288592182,0.2800151265626358
02196.HK,复星医药,2026-04-17,19.98,-0.13394726909791824,0.0,1.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,0,-2,0,0,,,,,0.6180918994477279,3.6572286572286576,0.001002004008016,0.0080726538849646,59.84848483261594,0.1726829858022931,0.4004524293265101
01093.HK,石药集团,2026-04-17,8.82,-0.13670525008398687,0.0,1.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,0,-2,0,0,,,,,0.3763970517911379,5.596047942986719,-0.0475161987041036,-0.0307692307692306,53.81062353918363,-0.0135582724080602,0.6186061905198269
01177.HK,中国生物制药,2026-04-17,5.97,-0.1400734260801967,0.0,1.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,0,-2,0,0,,,,,0.4763199331290575,4.857621440536013,0.0084459459459458,0.0135823429541594,51.0309277982251,-0.0391732822509336,0.3461683654380837
02376.HK,鲁商服务,2026-04-17,1.68,-0.14830854671687826,0.0,1.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,0,-5,0,0,,,,,0.1237104842096617,9.31122448979592,-0.3198380566801621,-0.1428571428571429,40.5228757799137,-0.186393882088182,0.2480192903892525
01024.HK,快手-W,2026-04-17,46.22,-0.14959262936602608,0.0,1.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,3,-1,0,0,,,,,0.3876262833471869,4.622303270074798,0.0239255649091714,0.0243794326241135,32.05465054940218,-3.9394934765402,0.2790398622822785
06186.HK,中国飞鹤,2026-04-17,3.35,-0.15023200947407755,0.0,1.0,0,0.0,0,0,0,0.0,1.0,0.0,0,3,-1,0,0,,,,,0.2057893316476315,3.219616204690831,-0.0147058823529411,-0.0373563218390804,19.17808215500095,-0.1233188483344296,0.3237098950674407
03383.HK,雅居乐集团,2026-04-17,0.244,-0.1524212048828651,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,3,4,0,0,,,,,0.4018342346329543,3.1323185011709618,0.0382978723404254,-0.0040816326530612,28.947367354570677,-0.0092387172918288,0.1635082190546862
01848.HK,中国飞机租赁,2026-04-17,3.93,-0.15347416484244303,-0.25,2.0,0,-0.6666666666666666,0,0,0,2.0,1.0,0.0,0,0,-2,0,0,,,,,0.4492995428857835,2.78080697928026,-0.0461165048543689,-0.0050632911392405,51.16279061438616,-0.0672473701053171,0.1031690470184428
02282.HK,美高梅中国,2026-04-17,11.31,-0.15380255454516137,-0.25,2.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,3,-1,0,0,,,,,0.5104988473002228,3.056713401540985,0.0116279069767442,0.0216802168021681,47.717842295931554,-0.27660307238515,0.2793026912363413
06618.HK,京东健康,2026-04-17,48.18,-0.1590790131282109,0.0,1.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,0,-1,0,0,,,,,0.3706527808042676,4.529146652434322,-0.0608187134502923,0.0237994050148746,46.66361974107271,-1.0515208432652017,0.4119062877107903
06887.HK,东阳光药,2026-04-17,44.18,-0.16309065894625757,-0.25,2.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,0,-1,0,0,,,,,0.6814812955846223,2.7678975619220068,0.0045475216007275,-0.0182222222222222,62.16216215040175,0.4918582979193004,0.1117837566142594
01833.HK,平安好医生,2026-04-17,12.01,-0.16453196260484296,-0.25,2.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,0,-1,0,0,,,,,0.5551528454920442,4.853098608302603,-0.0115226337448559,0.0425347222222223,42.62948205982444,-0.1708858016700585,0.2410421516742759
06049.HK,保利物业,2026-04-17,31.46,-0.16712762213761756,0.0,1.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,0,-1,0,0,,,,,0.5779659380956663,1.8254472799927373,0.0057544757033247,0.0083333333333333,50.574712623332005,-0.1483984195186387,0.3337793592991797
